address,delegator,date,voting_power
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x7D32...C782,2021-03-06,15000000.12
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x72dE...811D,2021-09-11,597.56
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,cryptoraj.eth,2023-03-18,471.62
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x8439...c194,2022-11-16,199.31
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,hazymoon.eth,2023-04-02,10.9
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x96F8...3D23,2022-12-21,10.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,shark8808.eth,2023-02-14,3.67
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,meta606.eth,2022-12-16,3.5
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xaa55.eth,2022-12-17,3.32
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x39f69.eth,2022-12-17,3.27
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,benak.eth,2022-12-15,3.22
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,wt999.eth,2022-12-17,3.21
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,smile999.eth,2022-12-16,3.2
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xa789.eth,2022-12-16,3.2
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,gerao.eth,2022-12-15,3.12
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,greli.eth,2022-12-15,3.11
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,frances666.eth,2022-12-15,3.1
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x998866.eth,2022-12-16,3.04
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,aruth.eth,2022-12-19,3.01
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,kotoalu.eth,2022-12-15,3.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,av111.eth,2022-12-16,2.7
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,paso001.eth,2022-12-20,2.38
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,sylvesterace.eth,2022-12-15,2.35
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,finn1690.eth,2023-01-18,2.33
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,supercat888.eth,2022-12-20,2.31
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,kia666.eth,2022-12-19,2.31
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,luse0923.eth,2022-12-20,2.2
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x99aa.eth,2022-12-16,2.2
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xc754...9905,2023-03-16,2.2
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,veekieys.eth,2023-04-07,2.18
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,lady803.eth,2022-12-20,2.16
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,jond0628.eth,2022-12-20,2.14
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,hometowncool.eth,2023-02-14,2.14
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x616263.eth,2022-12-17,2.13
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,waynea66666.eth,2022-12-15,2.13
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,twi555.eth,2022-12-20,2.12
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,dermot888.eth,2022-12-15,2.12
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,omnipig777.eth,2023-02-14,2.03
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,ra3dx.eth,2023-04-24,2.02
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xzhanshen.eth,2023-04-01,2.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,wu0731.eth,2023-02-14,2.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,donaldduckland.eth,2023-04-08,2.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x8Fa4...AB4f,2022-11-11,2.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,twotiger.eth,2022-09-16,2.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,ryuuta,2023-03-26,2.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,ryuuta,2023-03-26,2.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,luckyred88.eth,2022-12-20,1.89
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x7D78...9ae9,2023-02-13,1.39
