address,votingPower,tokensOwned,blockNumber,previousBalance,newBalance,difference,delegator,fromDelegate,toDelegate,transferFrom,transferTo
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,11979748,0,20000000000000000000000000,20000000000000000000000000,0x5F246D7D19aA612D6718D27c1dA1Ee66859586b0,0x0000000000000000000000000000000000000000,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,11981226,20000000000000000000000000,15000000000000000000000000,-5000000000000000000000000,,,,0x5F246D7D19aA612D6718D27c1dA1Ee66859586b0,0xBB0DD3B2745fA1219ea5a305BCbA8467fFc33133
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12313494,15000000000000000000000000,15000103030580000000000000,103030580000000000000,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0x0000000000000000000000000000000000000000,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12318994,15000103030580000000000000,15000106545080000000000000,3514500000000000000,0x5db83C7993Eecb7083ef45C8FAC31D851770ED94,0x0000000000000000000000000000000000000000,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12337492,15000106545080000000000000,14000106545080000000000000,-1000000000000000000000000,,,,0x1c1f02F1640E52b313f2D504b3c0C7Ee8AD61108,0xae7559CcD15208C622E8313BBf650F395FC051c2
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12338792,14000106545080000000000000,13800106545080000000000000,-200000000000000000000000,,,,0x5F246D7D19aA612D6718D27c1dA1Ee66859586b0,0x69cC27aA37a267A529Afc3d8bc16081688821edD
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12345687,13800106545080000000000000,13800114837490213099631806,8292410213099631806,,,,0x3328f5f2cEcAF00a2443082B657CedEAf70bfAEf,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12345711,13800114837490213099631806,13800106547490213099631806,-8290000000000000000,,,,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0x3328f5f2cEcAF00a2443082B657CedEAf70bfAEf
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12377856,13800106547490213099631806,13800107380623782931609648,833133569831977842,,,,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12866391,13800107380623782931609648,12800107380623782931609648,-1000000000000000000000000,,,,0x5F246D7D19aA612D6718D27c1dA1Ee66859586b0,0xCe62aA2FE0bfd82b7eC3457FFb746DF396b818EB
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12873872,12800107380623782931609648,12800116337955214134256989,8957331431202647341,,,,0x74de5d4FCbf63E00296fd95d33236B9794016631,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,12873884,12800116337955214134256989,12800107337955214134256989,-9000000000000000000,,,,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0x17EbEe050C312567aD0038c0a703779401cb0fE0
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,13078588,12800107337955214134256989,12800118646125694562631304,11308170480428374315,,,,0x74de5d4FCbf63E00296fd95d33236B9794016631,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,13078648,12800118646125694562631304,12800107646125694562631304,-11000000000000000000,,,,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0xd3d2E2692501A5c9Ca623199D38826e513033a17
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,13254525,12800107646125694562631304,12800121706619481359444031,14060493786796812727,,,,0xDafd66636E2561b0284EDdE37e42d192F2844D40,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,13254574,12800121706619481359444031,12800105706619481359444031,-16000000000000000000,,,,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0xfaA318479b7755b2dBfDD34dC306cb28B420Ad12
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,13784308,12800105706619481359444031,12800105606619481359444031,-100000000000000000,,,,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0xFBEB78a723b8087fD2ea7Ef1afEc93d35E8Bed42
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,14312823,12800105606619481359444031,12800003514500000000000000,-102092119481359444031,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,15325408,12800003514500000000000000,12800000000000000000000000,-3514500000000000000,0x5db83C7993Eecb7083ef45C8FAC31D851770ED94,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,0x5db83C7993Eecb7083ef45C8FAC31D851770ED94,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,16083688,12800000000000000000000000,12800000199964070134415697,199964070134415697,0x112129b1053a672cC0c3ee90573677AAeeD00013,0x112129b1053a672cC0c3ee90573677AAeeD00013,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,16089762,12800000199964070134415697,12800000000000000000000000,-199964070134415697,0x112129b1053a672cC0c3ee90573677AAeeD00013,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,17001157,12800000000000000000000000,12800001600000000000000000,1600000000000000000,0xA8F5F683D7C5CFf64B030A8303a32E0fcACEE18f,0xA8F5F683D7C5CFf64B030A8303a32E0fcACEE18f,0xe02457a1459b6C49469Bf658d4Fe345C636326bF,,
0xe02457a1459b6C49469Bf658d4Fe345C636326bF,7300001600000000000000000,0,17282721,12800001600000000000000000,7300001600000000000000000,-5500000000000000000000000,,,,0x5F246D7D19aA612D6718D27c1dA1Ee66859586b0,0x530d75828B621039979cF025072ae53B8aE4C0b0
