address,delegator,date,voting_power
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xBB0D...3133,2021-04-02,5000000.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x0fCC...A6b3,2021-10-04,424446.88
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xA274...E684,2021-04-02,150003.83
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,childsp.eth,2021-04-01,2185.96
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xd0s.eth,2021-04-09,106.4
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,pepes.eth,2021-05-31,13.78
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xtrey.eth,2021-05-28,12.85
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,centrocapital.eth,2021-05-30,2.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,zhardi.eth,2022-10-04,1.1
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,casanova2.eth,2022-06-06,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,drogean.eth,2021-04-01,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x5131...70e5,2021-04-03,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x69aF...756a,2021-04-08,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x95bA...fCD5,2021-04-08,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,jtnichol.eth,2021-03-31,0.0
