address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,choice.10,choice.11,choice.12,choice.13,choice.14,choice.15,voting_power,timestamp,date_utc,author_ipfs_hash
0xA30Ab83e693Ad49F3F651085DaD11d049c818923,,,,99,,,,,,,,,,,,99,1669661755,"Mon, 28 Nov 2022 18:55:55 GMT",bafkreigbfrrjtsy6oxx4nzrmowoihiwh52oufy5pghd2y6qxzsicsc565u
0xA2866D610C17E371604fF75e65A3120f493FC9E6,,,,8,,,,,,,,,2,,,99,1669661793,"Mon, 28 Nov 2022 18:56:33 GMT",bafkreihnw7ouulkfxnk4o2hx3jstkcqbtf4xvplek7znai3k5s7pqx4e7e
0x7E052Ef7B4bB7E5A45F331128AFadB1E589deaF1,2,4,2,5,1,1,2,2,1,4,5,3,1,1,2,99,1669662126,"Mon, 28 Nov 2022 19:02:06 GMT",bafkreifemx7gj6wxhwaba2b7g7f3bsyss3n2wx7nr4yubl66h43leycffe
0x9600e2eE6377DAdad7299B120026661c336A5e6d,,10,,50,9,10,,,,,,,20,,,99,1669663356,"Mon, 28 Nov 2022 19:22:36 GMT",bafkreieah7iao6nyok4i6rm4ttmbjfvjlc2n3k7jvitfooxlan4gxehdcy
0x8F48282e50B0210bd7c7DD69C54205E98b9Ef5D9,1,1,1,20,1,1,20,1,1,1,1,,10,1,30,99,1669665240,"Mon, 28 Nov 2022 19:54:00 GMT",bafkreidj2gwbizdcftkoxampobb4h62xgwkp627wi4vyb7mzcl7kmr3a2m
0xf93F0b770784602fC3079eb1D2fB1Ff488Bb02B0,,,,10,,,10,,,2,2,2,10,10,39,99,1669666374,"Mon, 28 Nov 2022 20:12:54 GMT",bafkreibvqganhevbxpv6v2rmdbiciiu6rnmnhdo2ous4mhizdz7lit66au
0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,1,3,3,3,3,3,3,40,3,3,20,5,3,3,3,99,1669669424,"Mon, 28 Nov 2022 21:03:44 GMT",bafkreigolfqd54g7hzqcod3vkgbtlocf67d7pry5smgdt3j3az76cmolry
0x43a70AB0D5Beb7C09f974630FBC56E601F28aA32,,1,,1,,,2,,2,2,,1,1,,2,99,1669676070,"Mon, 28 Nov 2022 22:54:30 GMT",bafkreiehjsywxnbayi7xax2oaqj2w6nblk5b2ak4mpk3uzwa55isudfxbm
0xCf7C21DeD40f2Df85A564207A89b3379780d9CE3,,1,,2,,,2,,,89,2,2,,,,99,1669676334,"Mon, 28 Nov 2022 22:58:54 GMT",bafkreifp54xxeiag2j7hhazx45uq3ml6xinvdwioxowzsharrlpyeo3yby
0x7A45E23cbb7765900f02c54757498beF01C2b18F,,5,,10,10,10,10,5,,5,5,5,10,,5,99,1669677941,"Mon, 28 Nov 2022 23:25:41 GMT",bafkreigprtuu62dhh2xpnw2m23ssdahhyrogxvy6jzkeakd7qcmrjy3u4y
